,feature importance,biomolecule
253,0.0,ADRA2A
254,0.0,ADRB2
255,0.0,ADRM1
256,0.0,ADSL
257,0.0,ADSS1
258,0.0,ADSS2
259,0.0,ADTRP
260,0.0,AEBP1
261,0.0005482384823848236,AEBP2
262,0.0,AEN
263,0.0,AFAP1
264,0.0,AFAP1L1
265,0.0,AFAP1L2
266,0.0,AFDN
267,0.0,AFF1
268,0.0,AFF2
269,0.0005535411413804953,AFF3
270,0.0,AFF4
271,0.0,AFG1L
272,0.0,AFG3L2
273,0.0002299296926095488,AFMID
274,0.0,AFTPH
275,0.0,AGA
276,0.0,AGAP1
277,0.0,AGAP2
278,0.0,AGAP3
279,0.0,AGAP4
280,0.0,AGAP5
281,0.0,AGAP6
282,0.0,AGAP9
283,0.0,AGBL2
284,0.0006565182630075881,AGBL3
285,0.0,AGBL5
286,0.0,AGER
287,0.0,AGFG1
288,0.0,AGFG2
289,0.00023233554053867411,AGGF1
290,0.0,AGK
291,0.0,AGL
292,0.0,AGMAT
293,0.0,AGO1
294,0.0,AGO2
295,0.0,AGO3
296,0.0,AGO4
297,0.0,AGPAT1
298,0.0,AGPAT2
299,0.0,AGPAT3
300,0.0,AGPAT4
301,0.0,AGPAT5
302,0.0,AGPS
303,0.0,AGRN
304,0.0,AGTPBP1
305,0.0,AGTRAP
306,0.0,AHCTF1
307,0.0,AHCY
308,0.0,AHCYL1
309,0.0,AHCYL2
310,0.0,AHDC1
311,0.0,AHI1
312,0.00027830173069922905,AHNAK
313,0.0,AHR
314,0.0,AHRR
315,0.0,AHSA1
316,0.0,AHSP
317,0.0,AICDA
318,0.00021998742928975486,AIDA
319,0.0,AIF1
320,0.0,AIFM1
321,0.0,AIFM2
322,0.0,AIFM3
323,0.0,AIG1
324,0.0,AIM2
325,0.0,AIMP1
326,0.0,AIMP2
327,0.0,AIP
328,0.0,AJUBA
329,0.0,AK1
330,0.0,AK2
331,0.0,AK3
332,0.0,AK4
333,0.0,AK5
334,0.0,AK6
335,0.0,AK9
336,0.0,AKAP1
337,0.0,AKAP10
338,0.0,AKAP11
339,0.0,AKAP12
340,0.0,AKAP13
341,0.0,AKAP17A
342,0.0,AKAP3
343,0.0,AKAP5
344,0.0,AKAP6
345,0.0,AKAP7
346,0.0,AKAP8
347,0.0,AKAP8L
348,0.0,AKAP9
349,0.0,AKIP1
350,0.0,AKIRIN1
351,0.0,AKIRIN2
352,0.0,AKNA
353,0.0,AKR1A1
354,0.0,AKR1B1
355,0.0,AKR1B15
356,0.0,AKR1C1
357,0.0,AKR1C3
358,0.0,AKR7A2
359,0.0,AKT1
360,0.0,AKT1S1
361,0.0,AKT2
362,0.0,AKT3
363,0.0,AKTIP
364,0.0,ALAD
365,0.0,ALAS1
366,0.0,ALAS2
367,0.0,ALCAM
368,0.0,ALDH16A1
369,0.0,ALDH18A1
370,0.0,ALDH1A1
371,0.0,ALDH1A2
372,0.0,ALDH1B1
373,0.0,ALDH1L2
374,0.0,ALDH2
375,0.0,ALDH3A2
376,0.0003591631498608243,ALDH3B1
377,0.0,ALDH4A1
378,0.0,ALDH5A1
379,0.0,ALDH6A1
380,0.0,ALDH7A1
381,0.0,ALDH8A1
382,0.0,ALDH9A1
383,0.0,ALDOA
384,0.0,ALDOC
385,0.0,ALG1
386,0.0,ALG10
387,0.0,ALG10B
388,0.0,ALG11
389,0.0,ALG12
390,0.0,ALG13
391,0.0002510780358881625,ALG14
392,0.0,ALG1L2
393,0.0005457956677468873,ALG2
394,0.0,ALG3
395,0.0,ALG5
396,0.0,ALG6
397,0.0,ALG8
398,0.0,ALG9
399,0.0,ALKBH1
400,0.0,ALKBH2
401,0.0,ALKBH3
402,0.00035559473954889417,ALKBH4
403,0.0,ALKBH5
404,0.0,ALKBH6
405,0.0,ALKBH7
406,0.0,ALKBH8
407,0.0,ALMS1
408,0.0,ALOX12
409,0.0,ALOX15
410,0.0,ALOX15B
411,0.0,ALOX5
412,0.0017171656100468144,ALOX5AP
