,feature importance,biomolecule
106,0.0009627874795990099,E7EX60;Q5T7F0;E9PEP6;O14786-3;O14786-2;O14786;Q5JWQ4;Q5JWQ6
107,0.0,E9PEK4;P07333;P07333-2
108,0.0,E9PF17;P13611-4;P13611-3;P13611-2;P13611-5;P13611;Q86W61;D6RGZ6
109,0.0,E9PHK0;P05452
110,0.0,E9PNW4;A0A2U3TZL5;P13987;P13987-2
111,0.0,F5GZZ9;Q86VB7-3;Q86VB7;Q86VB7-2;C9JHR8;Q86VB7-4
112,0.0,F5H8B0;P08709-2;P08709
113,3.398974912328025e-05,F8VUW4;O60486
114,0.00045394988165795773,F8VZ49;F8W6I7;P09651-3;P09651-2;P09651;F8W646;Q32P51;A0A2R8Y4L2
115,0.0,F8W0J6;P55209;P55209-2;P55209-3;H0YIV4;B7Z9C2;F8VV59;F5H4R6;F8VY35;F8VUX1;F8VXI6;F8W118;F8W020;H0YHC3;H0YH88;F8W543;F8VRJ2
116,0.00020454743810271894,F8W1R7;J3KND3;G8JLA2;G3V1V0;B7Z6Z4;P60660-2;P60660;F8VPF3;G3V1Y7;F8VZU9;F8W180
117,0.00012683783190695641,F8WE88;A0A087WY00;G3V394;F8W6H6;Q9Y4I1-2;Q9Y4I1;Q9Y4I1-3
118,0.00012729988458143806,G3V2W1;Q9UK55
119,0.0008173168932918071,G3V3A0
120,0.0,G3V3U4;G3V3I1;G3V295;G3V5Z7;P60900;G3V4S5;G3V2S7;P60900-2
121,0.00016329196603527104,G3V4U0;Q9UBX5;G3XA98
122,0.0,G3XAK1;P26927
123,0.0,G3XAM2;E7ETH0;P05156;A0A2R8Y3M9;A0A087X0I2
124,0.0,G3XAP6;P49747;P49747-2;CON__ENSEMBL:ENSBTAP00000006074
125,0.0,H0Y300;A0A0C4DGL8
126,0.0,H0Y755;M9MML0;P08637
127,0.00014229249011857693,H0YAC1;P03952;E9PBC5
128,0.0,H3BRU6;F8VZX2;Q15366-7;Q15366-8;Q15366-4;Q15366-5;Q15366-6;Q15366-3;Q15366;Q15366-2;H3BSS4
129,0.0,H7BXV5;P39060-2;P39060-1;P39060;H7C457
130,0.0,J3KNB4;P49913
131,0.0,J3KPA1;P54108;P54108-2;P54108-3;I3L0A1
132,0.0007309672082879639,J3QQR8;J3QQX6;J3QRQ1;J3QRT5;P13598;J3QKR4
133,0.0,J3QRS3;P19105;O14950;J3KTJ1
134,0.0,K7ER74;A0A024R0T9;P02655;Q6P163;V9GYJ8
135,0.0,K7ERG9;P00746
136,0.0,M0R1Q1
137,0.0,O00151
138,0.0,O00187
139,0.0,O00194
140,0.0,O00299
141,0.0,O00391;O00391-2
142,0.0,O14791;O14791-2;O14791-3
143,0.0,O19617;A0A140T921;A0A140T9H5;A0A140T9U8;A2AEA2;P10321;A0A1W2PRU9
144,0.0,O43866
145,0.0,O75083;D6RD66;O75083-3
146,0.0,O75460
147,0.0,O75636;O75636-2
148,0.0,O75874
149,0.0,O75882-2;O75882-3;O75882
150,0.0006502856333109567,O95445;O95445-2;Q5SRP5
151,0.00012591575091575093,O95497
152,0.0,O95810
153,0.0005976282973315854,O95831-4;O95831;O95831-6;O95831-3
154,0.00012142857142857143,P00390-5;P00390-4;P00390-2;P00390-3;P00390
155,0.0,P00441;H7BYH4
156,0.0,P00450
157,0.0,P00488
158,0.0,P00491;G3V5M2
159,0.0,P00558;P00558-2
160,0.0,P00734;E9PIT3
161,0.0,P00738;P00738-2;J3QLC9;H3BS21
162,0.0005276647618602155,P00739;P00739-2;A0A0A0MRD9
163,0.0,P00740;P00740-2
